date,body_weight,sleep_hours,steps
2026-05-08,155.3,6.9,9274
2026-05-09,154.2,7.7,5912
2026-05-10,154.9,7.2,4763
2026-05-11,154.5,8.2,9095
2026-05-12,154.3,5.9,6654
2026-05-13,153.8,6.8,7865
2026-05-14,155.1,5.9,10169
2026-05-15,153.8,7.5,8063
2026-05-16,153.6,7.0,7863
2026-05-17,154.9,7.1,4135
2026-05-18,154.7,7.4,10006
2026-05-19,155.0,7.8,7666
2026-05-20,154.4,8.0,10720
2026-05-21,154.0,7.0,7522
2026-05-22,154.3,6.9,8294
2026-05-23,154.2,7.0,8801
2026-05-24,153.2,7.1,6599
2026-05-25,154.3,7.1,9507
2026-05-26,154.2,6.9,7833
2026-05-27,153.5,6.9,7105
2026-05-28,154.0,8.0,8029
2026-05-29,153.7,7.0,10621
2026-05-30,153.6,8.6,9110
2026-05-31,152.8,7.3,9557
2026-06-01,152.6,8.6,9752
2026-06-02,153.3,7.3,7067
2026-06-03,153.8,6.5,7580
2026-06-04,152.8,7.0,9066
2026-06-05,153.3,8.0,6865
2026-06-06,153.5,7.7,6232
2026-06-07,153.3,7.4,5725
2026-06-08,152.8,7.4,8247
2026-06-09,152.0,6.6,8980
2026-06-10,152.7,6.9,10742
2026-06-11,152.4,7.6,5889
2026-06-12,152.3,7.7,7760
2026-06-13,151.7,8.0,6030
2026-06-14,152.7,7.8,6247
2026-06-15,152.7,6.8,8700
2026-06-16,152.0,7.1,7603
2026-06-17,151.7,7.4,8243
2026-06-18,151.3,7.0,9141
2026-06-19,151.4,6.8,9240
2026-06-20,151.7,8.5,8210
2026-06-21,151.5,7.7,3843
2026-06-22,150.8,7.7,7351
2026-06-23,151.5,7.6,8185
2026-06-24,151.3,7.9,6925
2026-06-25,151.5,7.1,6100
2026-06-26,152.1,6.8,8683
2026-06-27,151.3,7.0,8538
2026-06-28,151.8,7.4,4553
2026-06-29,151.9,7.8,8391
2026-06-30,151.8,6.6,7473
2026-07-01,150.2,6.3,9819
2026-07-02,150.3,7.2,9844
2026-07-03,150.8,6.7,11056
2026-07-04,150.4,8.1,6758
2026-07-05,151.3,6.8,7632
2026-07-06,149.8,7.5,8303
2026-07-07,149.8,7.3,8494
2026-07-08,149.6,7.2,11276
2026-07-09,150.6,7.2,10182
2026-07-10,149.6,7.7,8095
2026-07-11,149.8,7.1,8602
2026-07-12,151.0,7.4,4820
2026-07-13,149.5,7.0,10307
2026-07-14,150.8,6.2,7198
2026-07-15,149.7,7.5,8265
2026-07-16,150.0,7.4,7687
2026-07-17,150.2,7.0,10615
2026-07-18,150.3,7.8,5467
2026-07-19,148.8,6.9,6779
2026-07-20,148.8,7.2,8421
2026-07-21,149.4,6.7,8692
2026-07-22,149.2,7.6,7622
2026-07-23,148.7,7.5,10121
2026-07-24,149.6,6.4,6508
2026-07-25,149.7,6.7,7773
2026-07-26,149.3,7.4,8144
2026-07-27,149.8,7.1,10107
2026-07-28,149.4,6.5,7716
2026-07-29,148.6,6.8,8644
2026-07-30,148.8,7.0,9456
2026-07-31,148.4,6.4,6962
2026-08-01,148.8,7.3,7105
2026-08-02,148.2,7.1,8188
2026-08-03,148.1,6.4,8930
2026-08-04,148.4,7.6,8726
2026-08-05,148.2,7.2,10666
