date,calories,protein,carbs,fat,preworkout_carbs,preworkout_protein,workout_time
2026-05-08,2088,183,206,59,73,25,17:30
2026-05-09,2785,158,374,73,,,
2026-05-10,2313,173,230,78,,,
2026-05-11,2406,161,238,90,,,
2026-05-12,2390,163,252,81,,,
2026-05-13,2399,167,235,88,63,22,07:15
2026-05-14,2211,151,192,93,,,
2026-05-15,2170,166,188,84,64,20,17:30
2026-05-16,2354,191,222,78,,,
2026-05-17,2448,181,253,79,,,
2026-05-18,2374,163,260,76,69,28,07:15
2026-05-19,2140,181,181,77,,,
2026-05-20,2082,172,162,83,46,17,07:15
2026-05-21,2179,174,206,73,,,
2026-05-22,2339,177,264,64,61,22,17:30
2026-05-23,2328,185,197,89,,,
2026-05-24,2472,168,279,76,,,
2026-05-25,2366,154,253,82,61,22,07:15
2026-05-26,2035,154,215,62,,,
2026-05-27,2394,165,238,87,55,16,07:15
2026-05-28,2048,178,116,97,,,
2026-05-29,2322,189,200,85,61,19,17:30
2026-05-30,2348,162,240,82,,,
2026-05-31,2467,162,288,74,,,
2026-06-01,2033,182,160,74,68,19,07:15
2026-06-02,2206,167,198,83,,,
2026-06-03,2232,166,219,77,60,20,07:15
2026-06-04,2301,175,256,64,,,
2026-06-05,2229,161,214,81,,,
2026-06-06,2481,177,259,82,,,
2026-06-07,2449,174,260,79,,,
2026-06-08,2031,184,193,58,60,22,07:15
2026-06-09,2064,176,176,73,,,
2026-06-10,2324,168,217,87,58,17,07:15
2026-06-11,2038,177,137,87,,,
2026-06-12,2064,167,180,75,58,27,17:30
2026-06-13,2446,191,232,84,,,
2026-06-14,2287,194,202,78,,,
2026-06-15,2274,153,244,76,74,28,07:15
2026-06-16,2120,155,206,75,,,
2026-06-17,2122,217,176,61,68,23,07:15
2026-06-18,2294,185,222,74,,,
2026-06-19,2104,177,169,80,60,20,17:30
2026-06-20,2467,156,276,82,,,
2026-06-21,2351,158,259,76,,,
2026-06-22,2165,179,182,80,75,19,07:15
2026-06-23,2367,186,210,87,,,
2026-06-24,2018,198,136,76,57,19,07:15
2026-06-25,2158,171,224,64,,,
2026-06-26,2179,155,219,76,59,25,17:30
2026-06-27,2517,174,273,81,,,
2026-06-28,2499,182,288,69,,,
2026-06-29,2380,174,241,80,63,27,07:15
2026-06-30,2005,169,159,77,,,
2026-07-01,2122,175,180,78,57,17,07:15
2026-07-02,2146,189,186,72,,,
2026-07-03,2371,197,234,72,,,
2026-07-04,2616,156,316,81,,,
2026-07-05,2279,173,217,80,,,
2026-07-06,2267,151,265,67,61,21,07:15
2026-07-07,2232,174,206,79,,,
2026-07-08,1947,157,130,89,,,
2026-07-09,2199,171,214,73,,,
2026-07-10,1955,152,179,70,75,19,17:30
2026-07-11,2514,159,316,68,,,
2026-07-12,2431,171,286,67,,,
2026-07-13,2439,158,265,83,71,24,07:15
2026-07-14,2188,150,199,88,,,
2026-07-15,2104,177,223,56,52,18,07:15
2026-07-16,2249,139,212,94,,,
2026-07-17,2250,150,212,89,68,19,17:30
2026-07-18,2695,195,270,93,,,
2026-07-19,2391,176,246,78,,,
2026-07-20,2151,172,197,75,71,24,07:15
2026-07-21,2362,192,221,79,,,
2026-07-22,2190,172,220,69,60,22,07:15
2026-07-23,2106,160,180,83,,,
2026-07-24,2256,162,254,66,36,12,17:30
2026-07-25,2595,164,296,84,,,
2026-07-26,2322,151,265,73,,,
2026-07-27,2219,191,197,74,25,19,07:15
2026-07-28,2291,203,170,89,,,
2026-07-29,2213,148,225,80,67,23,07:15
2026-07-30,2246,169,217,78,,,
2026-07-31,2180,174,214,70,38,18,17:30
2026-08-01,2527,171,270,85,,,
2026-08-02,2386,162,250,82,,,
2026-08-03,2359,154,244,85,35,15,07:15
2026-08-04,2028,170,164,77,,,
2026-08-05,2384,150,268,79,65,20,07:15
