date,exercise,sets,reps,weight,rpe
2026-05-08,Bench Press,3,7,145.0,7.0
2026-05-08,Romanian Deadlift,3,6,135.0,7.5
2026-05-13,Romanian Deadlift,3,7,127.5,7.5
2026-05-13,Squat,3,5,200.0,8.5
2026-05-15,Bench Press,4,6,150.0,8.0
2026-05-15,Romanian Deadlift,3,6,132.5,6.5
2026-05-18,Bench Press,4,5,160.0,8.0
2026-05-18,Overhead Press,3,6,72.5,8.0
2026-05-20,Romanian Deadlift,3,6,130.0,8.0
2026-05-20,Squat,3,5,202.5,8.5
2026-05-22,Bench Press,4,7,150.0,8.0
2026-05-22,Romanian Deadlift,3,8,125.0,8.0
2026-05-25,Bench Press,3,4,167.5,7.5
2026-05-25,Overhead Press,3,5,77.5,8.0
2026-05-27,Romanian Deadlift,3,8,127.5,8.0
2026-05-27,Squat,3,3,217.5,8.5
2026-05-29,Bench Press,4,7,155.0,8.5
2026-05-29,Romanian Deadlift,3,8,125.0,7.0
2026-06-01,Bench Press,3,5,165.0,7.0
2026-06-01,Overhead Press,3,5,75.0,7.0
2026-06-03,Romanian Deadlift,3,8,122.5,8.0
2026-06-03,Squat,3,5,205.0,8.0
2026-06-08,Bench Press,4,5,167.5,8.0
2026-06-08,Overhead Press,3,6,75.0,8.5
2026-06-10,Romanian Deadlift,3,6,130.0,7.5
2026-06-10,Squat,4,3,220.0,9.0
2026-06-12,Bench Press,4,6,165.0,7.5
2026-06-12,Romanian Deadlift,3,7,130.0,7.0
2026-06-15,Bench Press,4,4,175.0,6.5
2026-06-15,Overhead Press,3,5,77.5,7.0
2026-06-17,Romanian Deadlift,3,8,125.0,7.0
2026-06-17,Squat,4,4,215.0,9.0
2026-06-19,Bench Press,4,7,162.5,8.5
2026-06-19,Romanian Deadlift,3,8,125.0,7.5
2026-06-22,Bench Press,3,4,177.5,7.0
2026-06-22,Overhead Press,3,6,75.0,7.5
2026-06-24,Romanian Deadlift,3,8,122.5,7.0
2026-06-24,Squat,4,5,212.5,8.0
2026-06-26,Bench Press,3,8,160.0,6.5
2026-06-26,Romanian Deadlift,3,6,132.5,7.0
2026-06-29,Bench Press,4,5,175.0,7.0
2026-06-29,Overhead Press,3,5,80.0,7.0
2026-07-01,Romanian Deadlift,3,6,130.0,6.5
2026-07-01,Squat,3,3,227.5,7.5
2026-07-06,Bench Press,4,5,180.0,7.0
2026-07-06,Overhead Press,3,5,80.0,8.0
2026-07-10,Bench Press,3,8,167.5,7.0
2026-07-10,Romanian Deadlift,3,6,130.0,7.0
2026-07-13,Bench Press,4,4,187.5,7.5
2026-07-13,Overhead Press,3,6,77.5,7.5
2026-07-15,Romanian Deadlift,3,6,132.5,6.5
2026-07-15,Squat,3,4,222.5,8.5
2026-07-17,Bench Press,3,6,180.0,6.5
2026-07-17,Romanian Deadlift,3,6,130.0,8.0
2026-07-20,Bench Press,3,5,185.0,7.5
2026-07-20,Overhead Press,3,5,82.5,8.5
2026-07-22,Romanian Deadlift,3,8,122.5,8.0
2026-07-22,Squat,3,3,230.0,8.0
2026-07-24,Bench Press,4,6,182.5,8.5
2026-07-24,Romanian Deadlift,3,6,130.0,7.5
2026-07-27,Bench Press,3,5,187.5,9.0
2026-07-27,Overhead Press,3,5,82.5,8.5
2026-07-29,Romanian Deadlift,3,7,130.0,7.0
2026-07-29,Squat,3,3,232.5,8.0
2026-07-31,Bench Press,4,8,172.5,9.5
2026-07-31,Romanian Deadlift,3,6,135.0,8.0
2026-08-03,Bench Press,4,5,187.5,8.5
2026-08-03,Overhead Press,3,5,82.5,7.5
2026-08-05,Romanian Deadlift,3,6,130.0,7.0
2026-08-05,Squat,4,3,232.5,8.0
